,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,alpha0,beta0,Sdown
28,8469676.501494603,3048631.8348617423,293.0,178172.0,608.0955631399318,4232880.700765298,300.42797782635535,0.0015202389078498293,0.0014826515267411429,,0.09104399464008683,8142.5004065470175,292.97599138332987
29,9347043.52928631,3381708.0298117343,294.0,177150.0,602.5510204081633,4153580.1521588224,301.43986522869506,0.001506377551020408,0.001469198507184846,,0.09092669300880728,8079.027503191706,293.97593221404685
30,9492353.94920954,3421716.9292989066,298.0,177703.0,596.3187919463087,4093335.364814648,305.5684789582379,0.0014907969798657718,0.001453872145172136,,0.09014541898311128,8064.037871100905,297.9755083241032
31,8906231.051082939,3229841.093729618,293.0,177517.0,605.8600682593857,4169574.318303068,300.39784004144826,0.0015146501706484643,0.0014773491711483893,,0.09182351125648273,8044.503803725369,292.9760370036203
32,13007039.233278982,4777390.597909339,297.0,177528.0,597.7373737373738,4138306.537088053,304.4587889210588,0.0014943434343434345,0.0014577342357985775,,0.09026339573648066,8074.891399246476,296.97593301155297
33,8196186.410565655,2962563.191716336,295.0,177357.0,601.2101694915254,4106087.304981327,302.4702239351461,0.0015030254237288136,0.0014659046243674868,,0.09210427749986125,7957.853121260819,294.97572740673655
34,10319238.330230927,3758385.856571504,292.0,177236.0,606.972602739726,4225653.91705761,299.3530918034773,0.001517431506849315,0.0014801584220512569,,0.09108225701001756,8125.393850793926,291.9762631785225
35,15304398.422141522,5704329.430291371,297.0,177994.0,599.3063973063973,4073506.3202621047,304.39243953147724,0.0014982659932659933,0.0014618792788839425,,0.0912302862589142,8012.028345143447,296.9761387308353
36,5792103.388334777,2059389.1188541567,293.0,177888.0,607.1262798634813,4168965.673473192,300.4832467204717,0.0015178156996587032,0.001480015957141552,,0.09291022784387748,7964.763360759968,292.9756112287926
37,10227391.228587572,3743891.712581459,292.0,177290.0,607.1575342465753,4172543.564224056,299.32962542024177,0.0015178938356164382,0.0014807254690468318,,0.09205059092838336,8042.9981715101485,291.97628596651293
38,6449691.623281406,2299237.097624364,293.0,176493.0,602.3651877133105,4115401.5628836686,300.4795897741307,0.0015059129692832763,0.0014684275239182556,,0.0922121489402133,7962.223745974762,292.9756461143577
39,9392864.847610269,3394115.2511921413,295.0,176204.0,597.3016949152542,4122226.563217466,302.4794817509221,0.0014932542372881354,0.0014563301862661204,,0.09066693390531318,8031.208972981372,294.9757731012594
40,10567886.4722073,3834161.861679582,294.0,176469.0,600.234693877551,4158647.029952797,301.43210863063086,0.0015005867346938775,0.0014635882753306958,,0.09018713887628825,8114.174002893768,293.976004103657
41,8729587.993498052,3174195.041645093,291.0,177209.0,608.9656357388316,4171330.294351743,298.32992246176696,0.001522414089347079,0.0014850085983472757,,0.09249084175401245,8027.868328286962,290.97624322873776
