,R,Smean,Ssd
374,388.0,297.0455880363924,
375,389.0,297.22654519869525,
376,390.0,297.4070232028736,
377,391.0,297.58702450355213,
378,392.0,297.7665515366681,
379,393.0,297.9456067196565,
380,394.0,298.12419245150573,
381,395.0,298.30231111306404,
382,396.0,298.4799650672413,
383,397.0,298.6571566590521,
384,398.0,298.83388821593746,
385,399.0,299.01016204788357,
