rho,lambd,S,Nsum,Nmean,Nsd
10626191.106946366,4017264.310368499,281.0,87707.0,312.12455516014234,1042392.3012119909
27218327.481132455,10728980.054543976,278.0,89305.0,321.2410071942446,1117415.118174525
20702302.51388228,7885906.796225315,283.0,88002.0,310.9611307420495,1100993.4366517249
5145538.136794787,1839115.4442498276,284.0,88862.0,312.8943661971831,1076898.3127851617
4718701.72481499,1668167.4615637441,285.0,88873.0,311.83508771929826,1060843.0219267467
12629339.149104243,4864869.09215411,277.0,88487.0,319.4476534296029,1059735.9440107392
6619386.234056346,2369217.8382666195,279.0,87797.0,314.68458781362006,1120345.592271425
6634910.677402135,2424561.2218930614,281.0,87928.0,312.9110320284698,1062933.9814085434
8810235.978378626,3214429.8904895196,286.0,88357.0,308.94055944055947,1068672.1677954912
31945710.596508354,12888882.957265519,277.0,88108.0,318.07942238267145,1085063.3583130238
20496970.683035225,8027153.988873325,283.0,88447.0,312.53356890459366,1029637.5633607612
9427697.036787458,3506866.5093898587,288.0,87348.0,303.2916666666667,1007332.9010416666
2826117.9885641253,962800.347753491,283.0,89461.0,316.11660777385157,1118600.103010401
5267153.512100138,1879219.4573018542,285.0,89069.0,312.52280701754387,1088283.807374577
5454833.039438104,1938420.0303635418,286.0,88365.0,308.96853146853147,1073307.4640446967
7724590.461687515,2797550.14192537,282.0,88112.0,312.45390070921985,1093771.120215281
6192845.68624468,2307030.978504072,273.0,88195.0,323.05860805860806,1084797.4104845093
21290578.966306377,8394059.545555523,282.0,88896.0,315.2340425531915,1057230.3991247925
6925352.041524913,2533216.8189173853,284.0,88141.0,310.3556338028169,1050175.158735866
3963199.234961841,1390744.3006084047,280.0,88029.0,314.38928571428573,1116042.402028061
8710429.999484543,3178020.407594678,283.0,88284.0,311.9575971731449,1092788.7190500568
25062151.496054046,9638433.708836183,275.0,88579.0,322.10545454545456,1164142.7488793388
12161693.184925212,4557372.096071869,282.0,88637.0,314.3156028368794,1082915.286919672
8229725.247071542,3071834.917700164,280.0,88822.0,317.2214285714286,1080141.1866836734
16182796.189732473,6121966.104446729,283.0,88950.0,314.31095406360424,1094839.7760990895
16343940.321329739,6245422.593100663,279.0,88644.0,317.7204301075269,1124530.4666435427
27710027.641873658,11142648.171645371,276.0,88028.0,318.94202898550725,1069514.3154799412
7715292.303330864,2842983.6854377748,282.0,88004.0,312.07092198581563,1053643.9524168803
17244151.172570974,6584492.091520807,279.0,87956.0,315.2544802867383,1093586.053519354
28452630.974936213,11084387.663637407,286.0,88630.0,309.8951048951049,1056688.6393466673
