,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,r,xi,xip
32,10251663.50708558,3793573.999654039,282.0,88590.0,731.9222643582784,5703444.247942567,302.5936097109723,0.001570744680851064,0.0014638445287165568,270.163532454641,0.09393954498654095,0.9998716701290413,0.9996792370678018
33,10476860.945288025,3964776.759896977,278.0,89388.0,749.9672527642008,5753246.586378122,297.9730103899107,0.0016076978417266187,0.0014999345055284016,266.48646724115696,0.0977750909663639,0.9998696445143617,0.9996741749955192
34,4869682.086071666,1777569.666927892,278.0,89478.0,751.033663243149,5660652.803653247,297.84949856179514,0.00160931654676259,0.0015020673264862978,265.803032503308,0.09965748280564593,0.9998673238424447,0.9996683756040878
35,7938534.844578539,2966669.550528698,281.0,88931.0,738.1306835514922,5534879.360742364,301.2034385703604,0.0015824021352313167,0.0014762613671029845,269.1073073856802,0.09845012683104278,0.9998666401495963,0.9996666670538386
36,10788384.591737932,4118678.595232277,281.0,88932.0,738.2411643935362,5500349.363753721,301.1617486578979,0.0015824199288256228,0.0014764823287870723,269.4075925593003,0.09909791886312995,0.999865782859311,0.9996645246880833
37,7415659.214163037,2741318.2979760217,278.0,88780.0,744.7118442785738,5706769.486337223,298.03473881231207,0.0015967625899280574,0.0014894236885571476,266.1426691608021,0.09719476394283233,0.999869503780368,0.9996738232981596
38,12171231.398116026,4528925.170217821,283.0,87906.0,723.4887594513347,5617953.178858441,303.7573108484245,0.0015531095406360424,0.001446977518902669,271.2424562295086,0.09318400954389439,0.9998712184426574,0.9996781082872174
39,4943003.186580818,1769848.455264755,282.0,89798.0,742.3407174254539,5745011.00285584,302.4150430257705,0.001592163120567376,0.001484681434850908,269.51157230599114,0.09593383825863593,0.999870785153056,0.9996770254822944
40,12688905.489466976,4861777.36143065,279.0,88517.0,739.9213695390309,5584075.624200951,299.07569791890813,0.001586326164874552,0.0014798427390780619,267.60417111023156,0.09805672849348396,0.9998674943859406,0.9996688017932841
41,6849253.194717027,2501942.806905708,285.0,88819.0,726.32188326766,5501845.274380971,305.7150075129601,0.0015582280701754384,0.00145264376653532,272.6961241110918,0.09589748606943992,0.9998679857671299,0.999670029758977
42,8206330.1130186785,3030684.104586156,276.0,88823.0,750.3373293392322,5870402.173421213,295.9435594062073,0.0016091123188405796,0.0015006746586784642,264.29506293134386,0.09591814361766157,0.9998721829770477,0.9996805186953434
43,4803854.76111421,1752382.1397421125,281.0,89091.0,739.6715764075805,5488597.999546137,301.11674843818884,0.0015852491103202845,0.0014793431528151609,268.6402176065529,0.09969536534076012,0.9998652348784756,0.9996631552885666
44,67751147.4226559,27745325.030634686,285.0,87318.0,713.6887150983836,5389606.172424729,305.8686446652132,0.0015318947368421054,0.001427377430196767,274.46461979857264,0.0945187872273436,0.9998675805444283,0.9996690171039332
