,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,alpha0,beta0,Sdown
38,2340226.761448304,863324.0565106717,252.0,21871.0,86.78968253968254,70209.65021101029,337.030902834778,0.001735793650793651,0.0012978631820430887,0.11134373756221436,5828.182215088189,248.66254247693078
39,7103202.400934636,2727833.4301704816,239.0,22131.0,92.59832635983264,86669.38677544137,316.8523662705753,0.001851966527196653,0.0013969281820733692,0.10493891513279584,6655.911109361167,236.04434449015278
40,74029052.8006829,33829966.68041225,240.0,22227.0,92.6125,79341.28734374992,310.81876524537023,0.00185225,0.00143022252742387,0.11562659436468922,6184.66078362955,237.2507825613525
41,4685665.338444779,1916684.8500785744,243.0,21905.0,90.1440329218107,70188.8146454638,319.05335281116675,0.0018028806584362142,0.001373124576626191,0.12401712808927225,5536.027957516337,239.95927297616274
42,263344169768.42825,154652621027.6184,245.0,21889.0,89.34285714285714,73125.68653061194,311.38755403227685,0.0017868571428571428,0.0014059007636336742,0.10957631278305338,6415.167329170729,242.44792534448408
43,2036675901.2015717,1047657279.103415,237.0,22409.0,94.55274261603375,79179.30207053707,303.31752901100043,0.001891054852320675,0.0014775934693301085,0.11247875668333993,6568.322378820205,234.46490140694033
44,3212259593.850766,1597096603.8978567,247.0,22982.0,93.04453441295549,85565.71056729331,318.0266195357881,0.0018608906882591095,0.0014452878210978687,0.10216498155655633,7073.3033916214645,244.336556613415
45,183754336.11332425,86267625.715207,244.0,21569.0,88.39754098360656,71110.4444201827,315.8978803050679,0.0017679508196721313,0.0013655678841004225,0.11273410457029166,6056.587264810213,241.19632164200695
46,67218292.95974769,28953665.16493797,254.0,22440.0,88.34645669291339,79543.02957405902,332.4402195693327,0.0017669291338582678,0.0013500171567128918,0.104157164126128,6480.673547707689,250.99891418428035
47,7567624.74971616,2874504.4240705203,249.0,22947.0,92.1566265060241,84124.70237576826,330.72305390283236,0.001843132530120482,0.0013876867505427616,0.10205817883948398,6798.508293614081,245.91745179724592
48,4892783.944125807,1938066.01771917,247.0,22016.0,89.1336032388664,71799.04692750252,326.2850951479072,0.001782672064777328,0.0013494946797995783,0.11613948247740372,5809.801503386837,243.87601271754352
49,6431722.365657809,2315322.178580053,246.0,22042.0,89.60162601626017,90096.19902174606,329.6479004110635,0.0017920325203252033,0.0013373056508179863,0.09395444000787469,7116.777294962864,242.89539661253218
50,7458340330.352268,3820711421.105621,248.0,22435.0,90.46370967741936,82696.86965075423,318.84681549133586,0.0018092741935483872,0.0014072588409219748,0.10257370760757173,6859.744440095167,245.32276371583146
51,10112609.951202026,4033662.7435227633,254.0,21995.0,86.59448818897638,72292.67414284844,335.8472225848838,0.0017318897637795276,0.0013098217594722473,0.10840695317738563,6041.225775107774,250.81462830992626
52,1700661.0748745038,610513.6263269159,248.0,22239.0,89.67338709677419,77822.89735626975,332.6998853385617,0.001793467741935484,0.001336880532878403,0.11041782806351046,6053.734964382075,244.70791274698982
53,380529.2141317624,122125.39558421617,245.0,22181.0,90.53469387755102,78480.7222657226,335.58290420718316,0.0018106938775510205,0.0013219386161760988,0.11306213887731287,5846.071148585708,241.4545530247212
54,130791499.21026862,59083149.67630424,240.0,21585.0,89.9375,75818.12526041667,312.04797609831013,0.00179875,0.001383441115041854,0.10769496011513528,6422.961267467092,237.23360140845136
55,1646252.464518094,583505.4577108691,248.0,22833.0,92.06854838709675,80928.91868821533,333.0256133772905,0.0018413709677419354,0.0013712458791649816,0.10831009323592689,6330.185111086832,244.73372496344103
