,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,r,xi,xip
49,6431722.365657809,2315322.178580053,246.0,22042.0,732.276127005135,5707322.89114487,301.0066720343245,0.0017920325203252033,0.0014645522540102699,0.09396649634730489,0.9998716953393085,0.9987184332719433
50,7458340330.352268,3820711421.105621,248.0,22435.0,742.8227322698252,5379405.935952316,302.0236057053063,0.0018092741935483872,0.0014856454645396505,0.1025878735964318,0.9998619136125598,0.9986208501020427
51,10112609.951202026,4033662.7435227633,254.0,21995.0,711.9485904766664,4675629.935400199,308.9408462101713,0.0017318897637795276,0.0014238971809533328,0.10842346259588886,0.9998477320488761,0.9984794043306445
52,1700661.0748745038,610513.6263269159,248.0,22239.0,739.0348672649626,4946416.213867128,300.9194962925445,0.001793467741935484,0.001478069734529925,0.11043432785149765,0.9998505918557373,0.9985079249109045
53,380529.2141317624,122125.39558421617,245.0,22181.0,747.424774986265,4941033.309740144,296.7656511039203,0.0018106938775510205,0.0014948495499725299,0.11307924425252343,0.9998487310794864,0.9984893674007275
54,130791499.21026862,59083149.67630424,240.0,21585.0,740.2654497289959,5088380.509882919,291.5845931740035,0.00179875,0.0014805308994579917,0.10771063002382632,0.9998545184566502,0.9985470869148442
55,1646252.464518094,583505.4577108691,248.0,22833.0,758.7354423478891,5315104.56944092,300.9349336488594,0.0018413709677419354,0.0015174708846957782,0.10832555679608444,0.9998572491975586,0.9985743236236064
56,607416279.8909361,292464573.236654,248.0,21813.0,723.3822705637984,4851521.541216775,301.54181112289524,0.0017591129032258064,0.0014467645411275968,0.1078754242538334,0.9998508957933262,0.9985109561375964
57,3331748.3755214373,1250213.1053768415,255.0,22670.0,732.2358113479761,4878593.803088523,309.59971704015277,0.0017780392156862745,0.0014644716226959518,0.10991892164740517,0.9998499084283499,0.998501109021623
58,18568264.34627793,7717649.097214375,248.0,22622.0,752.0927948931968,5143534.573882184,300.7873516885972,0.0018243548387096775,0.0015041855897863937,0.10998784689230555,0.9998537789949518,0.9985397116729597
59,10058007.324915271,3967809.1302143047,257.0,22028.0,703.6287017056309,4660677.174605616,313.06284048110933,0.0017142412451361866,0.0014072574034112617,0.1062438112549235,0.9998490286549905,0.9984923350777156
60,2914690.5021508443,1093893.5491463966,246.0,22551.0,756.6802372690404,5121644.7887282595,298.02549200160905,0.0018334146341463416,0.0015133604745380805,0.11180970357937643,0.9998522583528373,0.9985245454032057
61,1803918.0152022312,601081.667827476,242.0,22067.0,746.2391380020296,5841381.686075234,295.709496811999,0.0018237190082644628,0.001492478276004059,0.09534456586877553,0.999872249550174,0.9987239626308714
